username,tweetcreatedts,text,tweet_clean,tweet_english
manjikro,2021-12-16 23:58:45,"Penelitian di Hongkong menunjukkan jumlah #omicron pada saluran napas &gt;70x lipat dibanding delta sehingga penularan lebih hebat, namun jumlahnya pada organ paru &lt;10x pada delta. Sehingga peradangan pada paru menjadi lebih ringan. https://t.co/Wjh4XtqBGD","Penelitian di Hongkong menunjukkan jumlah pada saluran napas &gt;70x lipat dibanding delta sehingga penularan lebih hebat, namun jumlahnya pada organ paru &lt;10x pada delta. Sehingga peradangan pada paru menjadi lebih ringan.","Research in Hong Kong shows the amount on the airway & gt; 70x folding compared to deltas so that transmission is more powerful, but the number is in the pulmonary organs & lt; 10x in delta.So that inflammation in the lung becomes lighter."
FernanNaufal_,2021-12-16 23:58:43,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
gumcandies,2021-12-16 23:58:34,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
dou_ahou,2021-12-16 23:58:29,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷","Terkait , apakah Indonesia kecolongan lagi?Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat","Related, does Indonesia miss again? How not to miss, the rules of the quarantine of foreign trips alone are hesitant.Finally, there are even exceptions for honorable people"
As3tchi,2021-12-16 23:58:02,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
ronavioleta,2021-12-16 23:57:59,"Gejala yg ringan dan tidak khas ini terkadang malah membuat bahaya, orang tidak sadar sedang terinfeksi. Penyebaran #Omicron menjadi semakin luas..","Gejala yg ringan dan tidak khas ini terkadang malah membuat bahaya, orang tidak sadar sedang terinfeksi. Penyebaran menjadi semakin luas..","These symptoms that are light and not actually make a danger, people unconscious are infected.The spread becomes wider .."
ronavioleta,2021-12-16 23:57:55,"Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala #omicron didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan.","Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan.","What are the symptoms?So far the data in the world expressed lighter than Delta.Symptoms are dominated by pegal, fell, colds and light throat.Dry cough and anosmia like the delta is a little reported."
southwestboyy,2021-12-16 23:57:53,"Penelitian di Hongkong menunjukkan jumlah #omicron pada saluran napas &gt;70x lipat dibanding delta sehingga penularan lebih hebat, namun jumlahnya pada organ paru &lt;10x pada delta. Sehingga peradangan pada paru menjadi lebih ringan. https://t.co/Wjh4XtqBGD","Penelitian di Hongkong menunjukkan jumlah pada saluran napas &gt;70x lipat dibanding delta sehingga penularan lebih hebat, namun jumlahnya pada organ paru &lt;10x pada delta. Sehingga peradangan pada paru menjadi lebih ringan.","Research in Hong Kong shows the amount on the airway & gt; 70x folding compared to deltas so that transmission is more powerful, but the number is in the pulmonary organs & lt; 10x in delta.So that inflammation in the lung becomes lighter."
nadinayayy,2021-12-16 23:57:50,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
southwestboyy,2021-12-16 23:57:34,"Gejala yg ringan dan tidak khas ini terkadang malah membuat bahaya, orang tidak sadar sedang terinfeksi. Penyebaran #Omicron menjadi semakin luas..","Gejala yg ringan dan tidak khas ini terkadang malah membuat bahaya, orang tidak sadar sedang terinfeksi. Penyebaran menjadi semakin luas..","These symptoms that are light and not actually make a danger, people unconscious are infected.The spread becomes wider .."
yossitanancy,2021-12-16 23:57:32,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
ThantryRitha,2021-12-16 23:57:20,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
tepanipu,2021-12-16 23:57:18,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
southwestboyy,2021-12-16 23:57:18,"Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala #omicron didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan.","Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan.","What are the symptoms?So far the data in the world expressed lighter than Delta.Symptoms are dominated by pegal, fell, colds and light throat.Dry cough and anosmia like the delta is a little reported."
earthihst,2021-12-16 23:57:16,"Namun, disisi lain.. ringannya gejala #omicron dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya..","Namun, disisi lain.. ringannya gejala dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya..","However, on the other hand ... the symptoms of symptoms and transmission that faster is actually interpreted by some scientists this is the end of a pandemic, because the virus weakens and instead will make an increase in natural immunity .. We just see how in the UK ..."
southwestboyy,2021-12-16 23:57:07,"Mutasi umumnya terjadi pada negara yg jumlah imunitas warganya rendah.. pada kasus ini Afrika Selatan, tinggi kasus HIVnya dan tingkat vaksinnya rendah.. mutasi #Omicron terbentuk dipengaruhi virus yg lain..","Mutasi umumnya terjadi pada negara yg jumlah imunitas warganya rendah.. pada kasus ini Afrika Selatan, tinggi kasus HIVnya dan tingkat vaksinnya rendah.. mutasi terbentuk dipengaruhi virus yg lain..",Mutations generally occur in countries with low citizens' immunity
southwestboyy,2021-12-16 23:57:03,"Baju baru bukan berarti tidak dikenali, swab PCR dan antigen tetap dapat mendeteksi #omicron .","Baju baru bukan berarti tidak dikenali, swab PCR dan antigen tetap dapat mendeteksi .","New clothes do not mean not recognized, PCR swab and antigens can still detect."
chickenkalguksu,2021-12-16 23:56:57,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
Adam_ramadhan12,2021-12-16 23:56:54,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
southwestboyy,2021-12-16 23:56:54,"#Omicron ini seperti virus Corona dengan ""Baju Baru"" . Karena mutasi terjadi dalam jumlah yg banyak sehingga ""kurang"" dikenali oleh antibody di tubuh kita. Ini menyebabkan kasus reinfeksi di beberapa negara terjadi.","ini seperti virus Corona dengan ""Baju Baru"" . Karena mutasi terjadi dalam jumlah yg banyak sehingga ""kurang"" dikenali oleh antibody di tubuh kita. Ini menyebabkan kasus reinfeksi di beberapa negara terjadi.","It's like a Corona virus with ""new clothes"".Because mutations occur in large quantities so that ""less"" is recognized by antibodies in our body.This causes reinfection cases in several countries to occur."
manjikro,2021-12-16 23:56:51,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
southwestboyy,2021-12-16 23:56:45,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
treluglio,2021-12-16 23:56:35,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
girlnamedAyu,2021-12-16 23:56:29,"Gejala yg ringan dan tidak khas ini terkadang malah membuat bahaya, orang tidak sadar sedang terinfeksi. Penyebaran #Omicron menjadi semakin luas..","Gejala yg ringan dan tidak khas ini terkadang malah membuat bahaya, orang tidak sadar sedang terinfeksi. Penyebaran menjadi semakin luas..","These symptoms that are light and not actually make a danger, people unconscious are infected.The spread becomes wider .."
girlnamedAyu,2021-12-16 23:56:28,"Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala #omicron didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan.","Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan.","What are the symptoms?So far the data in the world expressed lighter than Delta.Symptoms are dominated by pegal, fell, colds and light throat.Dry cough and anosmia like the delta is a little reported."
Oplooooooooo,2021-12-16 23:56:07,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
syifamarya,2021-12-16 23:55:46,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
pearlblosoom,2021-12-16 23:55:29,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
ssargxh,2021-12-16 23:55:27,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
sundarkeu_,2021-12-16 23:55:09,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
gabrieladipr,2021-12-16 23:54:57,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷","Terkait , apakah Indonesia kecolongan lagi?Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat","Related, does Indonesia miss again? How not to miss, the rules of the quarantine of foreign trips alone are hesitant.Finally, there are even exceptions for honorable people"
siabay,2021-12-16 23:54:54,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
zuzuzumipaaaan,2021-12-16 23:54:42,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
calon_parumaen,2021-12-16 23:54:36,"Mestinya tidak ada privilege apapun untuk karantina, apalagi ada ancaman #Omicron. 

Lha #Omicron saja tidak perlu pilih-pilih, mau hinggap di tubuh pejabat atau orang biasa 😷","Mestinya tidak ada privilege apapun untuk karantina, apalagi ada ancaman . Lha saja tidak perlu pilih-pilih, mau hinggap di tubuh pejabat atau orang biasa","There should be no any privilege for quarantine, especially there is a threat.Lha just doesn't need to be picky, want to stand on the body of an ordinary person or ordinary person"
rimaleerzahs,2021-12-16 23:54:34,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
AlyPawank,2021-12-16 23:54:30,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
calon_parumaen,2021-12-16 23:54:29,"Aturan karantina itu dibuat untuk segelintir orang-orang terhormat saja atau untuk keselamatan warga negara secara keseluruhan sih?

Kalau sudah bobol #Omicron, keselamatan seluruh warga negara jadinya terancam kan 🙃","Aturan karantina itu dibuat untuk segelintir orang-orang terhormat saja atau untuk keselamatan warga negara secara keseluruhan sih?Kalau sudah bobol , keselamatan seluruh warga negara jadinya terancam kan","The quarantine rules are made for a handful of respectable people or for the salvation of citizens as a whole? If it has collapsed, the safety of all citizens will be threatened with"
calon_parumaen,2021-12-16 23:54:23,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷","Terkait , apakah Indonesia kecolongan lagi?Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat","Related, does Indonesia miss again? How not to miss, the rules of the quarantine of foreign trips alone are hesitant.Finally, there are even exceptions for honorable people"
zahra_parawansa,2021-12-16 23:54:13,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
yusufkurasal,2021-12-16 23:53:30,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
serayunoona,2021-12-16 23:53:23,"Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala #omicron didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan.","Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan.","What are the symptoms?So far the data in the world expressed lighter than Delta.Symptoms are dominated by pegal, fell, colds and light throat.Dry cough and anosmia like the delta is a little reported."
drpriono1,2021-12-16 23:53:12,"Nah, #Omicron ketahuan..kau bukan yg pertama, tapi keinginan engkau yg terakhir. Kau bikin panik, banyak orang minta booster vaksin, walaupun belum mendesak. Saat ini tingkat Kekebalan penduduk Indonesia masih bisa diandalkan. Kita tuntaskan dulu vaksinasi ke 2 bagi yg belum. https://t.co/0mUt85iHxR","Nah, ketahuan..kau bukan yg pertama, tapi keinginan engkau yg terakhir. Kau bikin panik, banyak orang minta booster vaksin, walaupun belum mendesak. Saat ini tingkat Kekebalan penduduk Indonesia masih bisa diandalkan. Kita tuntaskan dulu vaksinasi ke bagi yg belum.","Well, caught ... you're not the first, but your last wishes.You make panic, many people ask for a vaccine booster, even though it's not urgent.At present the level of immune Indonesia is still reliable.We completely complete vaccination for those who haven't."
sambeltrashy,2021-12-16 23:53:01,"Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala #omicron didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan.","Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan.","What are the symptoms?So far the data in the world expressed lighter than Delta.Symptoms are dominated by pegal, fell, colds and light throat.Dry cough and anosmia like the delta is a little reported."
salahkiriapa,2021-12-16 23:52:54,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
hanya_paa,2021-12-16 23:52:48,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷","Terkait , apakah Indonesia kecolongan lagi?Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat","Related, does Indonesia miss again? How not to miss, the rules of the quarantine of foreign trips alone are hesitant.Finally, there are even exceptions for honorable people"
bukanjerapah,2021-12-16 23:52:12,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷","Terkait , apakah Indonesia kecolongan lagi?Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat","Related, does Indonesia miss again? How not to miss, the rules of the quarantine of foreign trips alone are hesitant.Finally, there are even exceptions for honorable people"
KimiRamen,2021-12-16 23:52:07,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
mulkimaolah,2021-12-16 23:51:51,"Mestinya tidak ada privilege apapun untuk karantina, apalagi ada ancaman #Omicron. 

Lha #Omicron saja tidak perlu pilih-pilih, mau hinggap di tubuh pejabat atau orang biasa 😷","Mestinya tidak ada privilege apapun untuk karantina, apalagi ada ancaman . Lha saja tidak perlu pilih-pilih, mau hinggap di tubuh pejabat atau orang biasa","There should be no any privilege for quarantine, especially there is a threat.Lha just doesn't need to be picky, want to stand on the body of an ordinary person or ordinary person"
mulkimaolah,2021-12-16 23:51:49,"Aturan karantina itu dibuat untuk segelintir orang-orang terhormat saja atau untuk keselamatan warga negara secara keseluruhan sih?

Kalau sudah bobol #Omicron, keselamatan seluruh warga negara jadinya terancam kan 🙃","Aturan karantina itu dibuat untuk segelintir orang-orang terhormat saja atau untuk keselamatan warga negara secara keseluruhan sih?Kalau sudah bobol , keselamatan seluruh warga negara jadinya terancam kan","The quarantine rules are made for a handful of respectable people or for the salvation of citizens as a whole? If it has collapsed, the safety of all citizens will be threatened with"
la_iqbal23,2021-12-16 23:51:48,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
